date,SlowK,SlowD
2017-07-18 00:00:00,87.0317,88.1534
2017-07-17 00:00:00,87.234,88.4299
2017-07-14 00:00:00,90.1943,87.2767
2017-07-13 00:00:00,87.8615,82.1275
2017-07-12 00:00:00,83.7744,69.6187
2017-07-11 00:00:00,74.7467,55.4055
2017-07-10 00:00:00,50.335,40.8903
2017-07-07 00:00:00,41.1349,36.0788
2017-07-06 00:00:00,31.2008,31.6757
2017-07-05 00:00:00,35.9006,32.8844
2017-07-03 00:00:00,27.9255,29.5665
2017-06-30 00:00:00,34.8269,29.9778
2017-06-29 00:00:00,25.9471,30.6119
2017-06-28 00:00:00,29.1593,42.1045
2017-06-27 00:00:00,36.7292,57.5949
2017-06-26 00:00:00,60.4249,68.1355
2017-06-23 00:00:00,75.6305,71.2959
2017-06-22 00:00:00,68.351,60.8028
2017-06-21 00:00:00,69.9063,48.6256
2017-06-20 00:00:00,44.1509,29.5105
2017-06-19 00:00:00,31.8195,22.1993
2017-06-16 00:00:00,12.561,19.6184
2017-06-15 00:00:00,22.2173,24.4994
2017-06-14 00:00:00,24.0769,30.3474
2017-06-13 00:00:00,27.204,42.4836
2017-06-12 00:00:00,39.7612,57.1772
2017-06-09 00:00:00,60.4855,66.0162
2017-06-08 00:00:00,71.2849,69.7497
2017-06-07 00:00:00,66.2783,67.8081
2017-06-06 00:00:00,71.6861,63.7126
2017-06-05 00:00:00,65.46,51.686
2017-06-02 00:00:00,53.9918,41.5918
2017-06-01 00:00:00,35.6062,39.3302
2017-05-31 00:00:00,35.1774,44.728
2017-05-30 00:00:00,47.207,54.3413
2017-05-26 00:00:00,51.7996,61.3642
2017-05-25 00:00:00,64.0172,65.7064
2017-05-24 00:00:00,68.2759,61.7507
2017-05-23 00:00:00,64.826,49.7509
2017-05-22 00:00:00,52.1502,41.7609
2017-05-19 00:00:00,32.2767,42.2514
2017-05-18 00:00:00,40.856,59.1318
2017-05-17 00:00:00,53.6216,74.7677
2017-05-16 00:00:00,82.9178,86.489
2017-05-15 00:00:00,87.7638,87.9938
2017-05-12 00:00:00,88.7852,88.3429
2017-05-11 00:00:00,87.4325,90.289
2017-05-10 00:00:00,88.8112,90.0219
2017-05-09 00:00:00,94.6233,87.7338
2017-05-08 00:00:00,86.6311,82.2185
2017-05-05 00:00:00,81.947,81.2105
2017-05-04 00:00:00,78.0775,76.0633
2017-05-03 00:00:00,83.6071,69.4993
2017-05-02 00:00:00,66.5054,59.2205
2017-05-01 00:00:00,58.3854,61.7933
2017-04-28 00:00:00,52.7706,70.1324
2017-04-27 00:00:00,74.2239,81.0436
2017-04-26 00:00:00,83.4026,83.5683
2017-04-25 00:00:00,85.5042,74.2305
2017-04-24 00:00:00,81.798,59.8551
2017-04-21 00:00:00,55.3894,42.9128
2017-04-20 00:00:00,42.3781,36.119
2017-04-19 00:00:00,30.9708,34.1471
2017-04-18 00:00:00,35.0081,34.0587
2017-04-17 00:00:00,36.4625,31.1265
2017-04-13 00:00:00,30.7056,24.7117
2017-04-12 00:00:00,26.2115,19.9332
2017-04-11 00:00:00,17.218,20.0615
2017-04-10 00:00:00,16.3702,32.2523
2017-04-07 00:00:00,26.5961,50.5982
2017-04-06 00:00:00,53.7907,70.4786
2017-04-05 00:00:00,71.4077,80.9264
2017-04-04 00:00:00,86.2376,87.0924
2017-04-03 00:00:00,85.134,89.4104
2017-03-31 00:00:00,89.9057,88.0697
2017-03-30 00:00:00,93.1916,78.0212
2017-03-29 00:00:00,81.1119,60.5652
2017-03-28 00:00:00,59.7602,47.2449
2017-03-27 00:00:00,40.8236,40.1471
2017-03-24 00:00:00,41.1509,45.9986
2017-03-23 00:00:00,38.4668,51.5336
2017-03-22 00:00:00,58.3782,65.1349
2017-03-21 00:00:00,57.7558,71.3951
2017-03-20 00:00:00,79.2708,79.792
2017-03-17 00:00:00,77.1586,79.5999
2017-03-16 00:00:00,82.9465,77.7977
2017-03-15 00:00:00,78.6947,72.409
2017-03-14 00:00:00,71.7518,62.9822
2017-03-13 00:00:00,66.7804,55.9142
2017-03-10 00:00:00,50.4143,52.519
2017-03-09 00:00:00,50.548,61.607
2017-03-08 00:00:00,56.5948,70.8602
2017-03-07 00:00:00,77.6782,80.1907
2017-03-06 00:00:00,78.3077,81.4042
2017-03-03 00:00:00,84.5864,82.5611
2017-03-02 00:00:00,81.3186,78.6183
2017-03-01 00:00:00,81.7784,74.2414
2017-02-28 00:00:00,72.7578,72.4446
2017-02-27 00:00:00,68.188,77.3242
2017-02-24 00:00:00,76.388,85.9889
2017-02-23 00:00:00,87.3964,89.5292
2017-02-22 00:00:00,94.1821,87.9191
2017-02-21 00:00:00,87.009,85.5873
2017-02-17 00:00:00,82.5661,86.3345
2017-02-16 00:00:00,87.1867,87.9473
2017-02-15 00:00:00,89.2508,88.1509
2017-02-14 00:00:00,87.4042,88.9634
2017-02-13 00:00:00,87.7975,91.4219
2017-02-10 00:00:00,91.6885,93.5779
2017-02-09 00:00:00,94.7796,93.3001
2017-02-08 00:00:00,94.2656,91.0103
2017-02-07 00:00:00,90.8551,87.1692
2017-02-06 00:00:00,87.9102,80.4453
2017-02-03 00:00:00,82.7423,73.8482
2017-02-02 00:00:00,70.6832,69.0807
2017-02-01 00:00:00,68.1189,72.0502
2017-01-31 00:00:00,68.4398,78.0403
2017-01-30 00:00:00,79.5918,79.2939
2017-01-27 00:00:00,86.0893,75.588
2017-01-26 00:00:00,72.2004,68.1751
2017-01-25 00:00:00,68.4742,68.3798
2017-01-24 00:00:00,63.8505,70.4837
2017-01-23 00:00:00,72.8146,75.252
2017-01-20 00:00:00,74.7861,75.5563
2017-01-19 00:00:00,78.1552,75.4943
2017-01-18 00:00:00,73.7277,75.1375
2017-01-17 00:00:00,74.6002,80.2597
2017-01-13 00:00:00,77.0848,86.2278
2017-01-12 00:00:00,89.0941,91.0362
2017-01-11 00:00:00,92.5045,90.1209
2017-01-10 00:00:00,91.5099,82.3035
2017-01-09 00:00:00,86.3483,69.2661
