date,HT_DCPHASE
2002-09-19 00:00:00,58.5407
2002-09-20 00:00:00,70.1235
2002-09-23 00:00:00,76.4485
2002-09-24 00:00:00,89.9383
2002-09-25 00:00:00,95.7348
2002-09-26 00:00:00,100.9751
2002-09-27 00:00:00,106.0971
2002-09-30 00:00:00,125.4066
2002-10-01 00:00:00,162.2959
2002-10-02 00:00:00,185.7177
2002-10-03 00:00:00,209.1617
2002-10-04 00:00:00,236.2029
2002-10-07 00:00:00,255.7109
2002-10-08 00:00:00,280.4264
2002-10-09 00:00:00,296.2258
2002-10-10 00:00:00,310.9141
2002-10-11 00:00:00,-32.9775
2002-10-14 00:00:00,-22.6372
2002-10-15 00:00:00,0.1336
2002-10-16 00:00:00,21.9804
2002-10-17 00:00:00,44.1316
2002-10-18 00:00:00,58.3891
2002-10-21 00:00:00,72.5496
2002-10-22 00:00:00,79.7064
2002-10-23 00:00:00,105.4423
2002-10-24 00:00:00,123.3768
2002-10-25 00:00:00,150.6941
2002-10-28 00:00:00,161.2891
2002-10-29 00:00:00,169.3641
2002-10-30 00:00:00,177.8804
2002-10-31 00:00:00,176.4918
2002-11-01 00:00:00,172.5475
2002-11-04 00:00:00,162.0469
2002-11-05 00:00:00,161.0715
2002-11-06 00:00:00,163.5142
2002-11-07 00:00:00,170.9817
2002-11-08 00:00:00,182.2069
2002-11-11 00:00:00,190.5824
2002-11-12 00:00:00,198.7742
2002-11-13 00:00:00,206.5158
2002-11-14 00:00:00,218.4054
2002-11-15 00:00:00,223.2254
2002-11-18 00:00:00,227.4248
2002-11-19 00:00:00,232.1393
2002-11-20 00:00:00,237.4345
2002-11-21 00:00:00,255.0354
2002-11-22 00:00:00,277.6159
2002-11-25 00:00:00,295.5649
2002-11-26 00:00:00,-23.7306
2002-11-27 00:00:00,-1.5165
2002-11-29 00:00:00,32.37
2002-12-02 00:00:00,43.8313
2002-12-03 00:00:00,50.6665
2002-12-04 00:00:00,42.0697
2002-12-05 00:00:00,-30.6129
2002-12-06 00:00:00,-44.3629
2002-12-09 00:00:00,-41.1095
2002-12-10 00:00:00,-24.8582
2002-12-11 00:00:00,-9.0847
2002-12-12 00:00:00,5.0812
2002-12-13 00:00:00,15.8547
2002-12-16 00:00:00,27.8996
2002-12-17 00:00:00,48.8099
2002-12-18 00:00:00,55.2032
2002-12-19 00:00:00,48.8673
2002-12-20 00:00:00,31.4963
2002-12-23 00:00:00,2.5636
2002-12-24 00:00:00,-17.9319
2002-12-26 00:00:00,-22.5801
2002-12-27 00:00:00,-21.529
2002-12-30 00:00:00,-6.6123
2002-12-31 00:00:00,6.7477
2003-01-02 00:00:00,24.414
2003-01-03 00:00:00,47.9457
2003-01-06 00:00:00,66.2104
2003-01-07 00:00:00,78.882
2003-01-08 00:00:00,99.6477
2003-01-09 00:00:00,122.7836
2003-01-10 00:00:00,132.3037
2003-01-13 00:00:00,157.2816
2003-01-14 00:00:00,165.629
2003-01-15 00:00:00,191.1749
2003-01-16 00:00:00,210.9539
2003-01-17 00:00:00,230.277
2003-01-21 00:00:00,252.3463
2003-01-22 00:00:00,274.5321
2003-01-23 00:00:00,294.452
2003-01-24 00:00:00,-36.3457
2003-01-27 00:00:00,-17.9146
2003-01-28 00:00:00,-8.7017
2003-01-29 00:00:00,10.3564
2003-01-30 00:00:00,25.8646
2003-01-31 00:00:00,34.5407
2003-02-03 00:00:00,48.8011
2003-02-04 00:00:00,63.9203
2003-02-05 00:00:00,81.0368
2003-02-06 00:00:00,99.1596
2003-02-07 00:00:00,119.4522
2003-02-10 00:00:00,160.1472
2003-02-11 00:00:00,187.1129
2003-02-12 00:00:00,213.7656
2003-02-13 00:00:00,244.2231
2003-02-14 00:00:00,256.9699
2003-02-18 00:00:00,262.0725
2003-02-19 00:00:00,128.3428
2003-02-20 00:00:00,118.529
