date,TEMA
2002-10-07 00:00:00,14.2203
2002-10-08 00:00:00,14.0646
2002-10-09 00:00:00,13.9164
2002-10-10 00:00:00,13.933
2002-10-11 00:00:00,14.051
2002-10-14 00:00:00,14.2177
2002-10-15 00:00:00,14.457
2002-10-16 00:00:00,14.4978
2002-10-17 00:00:00,14.4142
2002-10-18 00:00:00,14.4053
2002-10-21 00:00:00,14.455
2002-10-22 00:00:00,14.5319
2002-10-23 00:00:00,14.6411
2002-10-24 00:00:00,14.6802
2002-10-25 00:00:00,14.9002
2002-10-28 00:00:00,15.1275
2002-10-29 00:00:00,15.2664
2002-10-30 00:00:00,15.5162
2002-10-31 00:00:00,15.7392
2002-11-01 00:00:00,15.9912
2002-11-04 00:00:00,16.3282
2002-11-05 00:00:00,16.5986
2002-11-06 00:00:00,16.8937
2002-11-07 00:00:00,16.8087
2002-11-08 00:00:00,16.6874
2002-11-11 00:00:00,16.4027
2002-11-12 00:00:00,16.2866
2002-11-13 00:00:00,16.1727
2002-11-14 00:00:00,16.2585
2002-11-15 00:00:00,16.2333
2002-11-18 00:00:00,16.1303
2002-11-19 00:00:00,15.9435
2002-11-20 00:00:00,15.8552
2002-11-21 00:00:00,15.9936
2002-11-22 00:00:00,16.0167
2002-11-25 00:00:00,16.0231
2002-11-26 00:00:00,15.8809
2002-11-27 00:00:00,15.8432
2002-11-29 00:00:00,15.7543
2002-12-02 00:00:00,15.598
2002-12-03 00:00:00,15.4649
2002-12-04 00:00:00,15.3077
2002-12-05 00:00:00,15.0925
2002-12-06 00:00:00,15.002
2002-12-09 00:00:00,14.8793
2002-12-10 00:00:00,14.9201
2002-12-11 00:00:00,15.0118
2002-12-12 00:00:00,15.0123
2002-12-13 00:00:00,14.9118
2002-12-16 00:00:00,14.8481
2002-12-17 00:00:00,14.8589
2002-12-18 00:00:00,14.7387
2002-12-19 00:00:00,14.5477
2002-12-20 00:00:00,14.3798
2002-12-23 00:00:00,14.338
2002-12-24 00:00:00,14.275
2002-12-26 00:00:00,14.239
2002-12-27 00:00:00,14.1264
2002-12-30 00:00:00,14.0419
2002-12-31 00:00:00,14.0457
2003-01-02 00:00:00,14.1759
