date,DCPERIOD
2002-02-25 00:00:00,25.8794
2002-02-26 00:00:00,25.6829
2002-02-27 00:00:00,25.0006
2002-02-28 00:00:00,25.3227
2002-03-01 00:00:00,25.079
2002-03-04 00:00:00,24.3802
2002-03-05 00:00:00,23.9124
2002-03-06 00:00:00,24.0789
2002-03-07 00:00:00,24.0324
2002-03-08 00:00:00,23.5009
2002-03-11 00:00:00,22.8227
2002-03-12 00:00:00,22.5629
2002-03-13 00:00:00,22.9188
2002-03-14 00:00:00,22.9774
2002-03-15 00:00:00,22.6775
2002-03-18 00:00:00,22.2398
2002-03-19 00:00:00,21.7736
2002-03-20 00:00:00,21.3727
2002-03-21 00:00:00,21.1642
2002-03-22 00:00:00,21.184
2002-03-25 00:00:00,21.2754
2002-03-26 00:00:00,21.3097
2002-03-27 00:00:00,21.3328
2002-03-28 00:00:00,21.4633
2002-04-01 00:00:00,21.8867
2002-04-02 00:00:00,22.921
2002-04-03 00:00:00,24.0782
2002-04-04 00:00:00,24.6609
2002-04-05 00:00:00,24.4938
2002-04-08 00:00:00,23.8774
2002-04-09 00:00:00,23.3484
2002-04-10 00:00:00,23.0018
2002-04-11 00:00:00,22.4018
2002-04-12 00:00:00,21.5384
2002-04-15 00:00:00,20.6249
2002-04-16 00:00:00,19.798
2002-04-17 00:00:00,19.1277
2002-04-18 00:00:00,18.6998
2002-04-19 00:00:00,18.5304
2002-04-22 00:00:00,18.6188
2002-04-23 00:00:00,18.9167
2002-04-24 00:00:00,19.1982
2002-04-25 00:00:00,19.2439
2002-04-26 00:00:00,19.148
2002-04-29 00:00:00,19.3272
2002-04-30 00:00:00,19.7314
2002-05-01 00:00:00,19.934
2002-05-02 00:00:00,19.8333
2002-05-03 00:00:00,19.4723
2002-05-06 00:00:00,18.933
2002-05-07 00:00:00,18.405
2002-05-08 00:00:00,18.1249
2002-05-09 00:00:00,18.1161
2002-05-10 00:00:00,18.2395
2002-05-13 00:00:00,18.4167
2002-05-14 00:00:00,18.6128
2002-05-15 00:00:00,18.8084
2002-05-16 00:00:00,19.3421
2002-05-17 00:00:00,20.3738
2002-05-20 00:00:00,20.9485
2002-05-21 00:00:00,20.8519
2002-05-22 00:00:00,20.3975
2002-05-23 00:00:00,19.9255
2002-05-24 00:00:00,19.3868
2002-05-28 00:00:00,18.799
2002-05-29 00:00:00,18.3121
2002-05-30 00:00:00,18.0718
2002-05-31 00:00:00,17.9702
2002-06-03 00:00:00,17.7355
2002-06-04 00:00:00,17.3697
2002-06-05 00:00:00,17.0429
2002-06-06 00:00:00,16.8851
2002-06-07 00:00:00,16.92
2002-06-10 00:00:00,17.1548
2002-06-11 00:00:00,17.6248
2002-06-12 00:00:00,18.4069
2002-06-13 00:00:00,19.5908
2002-06-14 00:00:00,21.1098
2002-06-17 00:00:00,22.9259
2002-06-18 00:00:00,25.021
2002-06-19 00:00:00,27.3907
2002-06-20 00:00:00,30.0411
2002-06-21 00:00:00,31.9163
2002-06-24 00:00:00,33.3364
2002-06-25 00:00:00,33.499
2002-06-26 00:00:00,32.8711
2002-06-27 00:00:00,31.7623
2002-06-28 00:00:00,30.3766
2002-07-01 00:00:00,28.8479
2002-07-02 00:00:00,27.9378
2002-07-03 00:00:00,27.1832
2002-07-05 00:00:00,26.5884
2002-07-08 00:00:00,25.9824
2002-07-09 00:00:00,25.4186
2002-07-10 00:00:00,24.934
2002-07-11 00:00:00,24.4512
2002-07-12 00:00:00,24.0144
2002-07-15 00:00:00,23.735
2002-07-16 00:00:00,23.6085
2002-07-17 00:00:00,23.5151
2002-07-18 00:00:00,23.3892
2002-07-19 00:00:00,23.2065
2002-07-22 00:00:00,22.9465
2002-07-23 00:00:00,22.6433
2002-07-24 00:00:00,22.3877
2002-07-25 00:00:00,22.4848
2002-07-26 00:00:00,23.2983
2002-07-29 00:00:00,23.8887
2002-07-30 00:00:00,23.7379
2002-07-31 00:00:00,23.1265
2002-08-01 00:00:00,22.5733
2002-08-02 00:00:00,22.207
2002-08-05 00:00:00,21.8663
2002-08-06 00:00:00,21.5596
2002-08-07 00:00:00,21.3986
2002-08-08 00:00:00,21.3444
2002-08-09 00:00:00,21.2686
2002-08-12 00:00:00,21.1486
2002-08-13 00:00:00,21.0603
2002-08-14 00:00:00,21.0755
2002-08-15 00:00:00,21.282
2002-08-16 00:00:00,21.7021
2002-08-19 00:00:00,22.0488
2002-08-20 00:00:00,22.0905
2002-08-21 00:00:00,21.9607
2002-08-22 00:00:00,21.9823
2002-08-23 00:00:00,22.6656
2002-08-26 00:00:00,23.9171
2002-08-27 00:00:00,25.2359
2002-08-28 00:00:00,25.6838
2002-08-29 00:00:00,25.4047
2002-08-30 00:00:00,24.7327
2002-09-03 00:00:00,24.0127
