date,ADX
2001-10-03 00:00:00,25.5039
2001-10-04 00:00:00,25.345
2001-10-05 00:00:00,25.194
2001-10-08 00:00:00,24.8829
2001-10-09 00:00:00,24.5874
2001-10-10 00:00:00,23.7724
2001-10-11 00:00:00,22.7899
2001-10-12 00:00:00,22.0678
2001-10-15 00:00:00,21.562
2001-10-16 00:00:00,20.9458
2001-10-17 00:00:00,19.9989
2001-10-18 00:00:00,19.0993
2001-10-19 00:00:00,18.1632
2001-10-22 00:00:00,17.7144
2001-10-23 00:00:00,17.4985
2001-10-24 00:00:00,17.2001
2001-10-25 00:00:00,17.0166
2001-10-26 00:00:00,16.8421
2001-10-29 00:00:00,16.1044
2001-10-30 00:00:00,15.7521
2001-10-31 00:00:00,15.1306
2001-11-01 00:00:00,14.4661
2001-11-02 00:00:00,13.8885
2001-11-05 00:00:00,13.5981
2001-11-06 00:00:00,13.5541
2001-11-07 00:00:00,13.81
2001-11-08 00:00:00,13.4796
2001-11-09 00:00:00,13.1514
2001-11-12 00:00:00,12.5574
2001-11-13 00:00:00,12.0137
2001-11-14 00:00:00,11.8239
2001-11-15 00:00:00,11.6437
2001-11-16 00:00:00,11.2297
2001-11-19 00:00:00,10.9833
2001-11-20 00:00:00,10.8385
2001-11-21 00:00:00,10.5329
2001-11-23 00:00:00,10.3381
2001-11-26 00:00:00,11.0108
2001-11-27 00:00:00,11.6498
2001-11-28 00:00:00,12.1869
2001-11-29 00:00:00,12.5238
2001-11-30 00:00:00,13.2132
2001-12-03 00:00:00,13.8682
2001-12-04 00:00:00,15.0381
2001-12-05 00:00:00,16.6273
2001-12-06 00:00:00,18.1131
2001-12-07 00:00:00,19.4093
2001-12-10 00:00:00,20.7305
2001-12-11 00:00:00,21.5082
2001-12-12 00:00:00,21.9379
2001-12-13 00:00:00,21.8114
2001-12-14 00:00:00,21.4215
2001-12-17 00:00:00,21.1342
2001-12-18 00:00:00,21.0216
2001-12-19 00:00:00,21.0796
2001-12-20 00:00:00,21.1347
2001-12-21 00:00:00,21.2218
2001-12-24 00:00:00,21.3046
2001-12-26 00:00:00,21.7972
2001-12-27 00:00:00,22.2652
2001-12-28 00:00:00,23.0367
2001-12-31 00:00:00,23.6523
2002-01-02 00:00:00,24.4994
2002-01-03 00:00:00,25.4724
2002-01-04 00:00:00,26.469
2002-01-07 00:00:00,27.1863
2002-01-08 00:00:00,27.5958
2002-01-09 00:00:00,27.0243
2002-01-10 00:00:00,25.8171
2002-01-11 00:00:00,24.8734
2002-01-14 00:00:00,23.977
2002-01-15 00:00:00,23.3261
2002-01-16 00:00:00,22.2516
2002-01-17 00:00:00,21.9156
2002-01-18 00:00:00,21.5965
2002-01-22 00:00:00,21.2008
2002-01-23 00:00:00,21.147
2002-01-24 00:00:00,21.3045
2002-01-25 00:00:00,21.2845
2002-01-28 00:00:00,21.326
2002-01-29 00:00:00,21.3655
2002-01-30 00:00:00,21.6862
2002-01-31 00:00:00,22.2437
2002-02-01 00:00:00,22.867
2002-02-04 00:00:00,23.6772
2002-02-05 00:00:00,24.6131
2002-02-06 00:00:00,24.7612
2002-02-07 00:00:00,24.8498
2002-02-08 00:00:00,24.4257
2002-02-11 00:00:00,24.1948
2002-02-12 00:00:00,23.9946
2002-02-13 00:00:00,23.9024
2002-02-14 00:00:00,23.6088
2002-02-15 00:00:00,22.9454
2002-02-19 00:00:00,22.1118
2002-02-20 00:00:00,21.3894
2002-02-21 00:00:00,21.1531
2002-02-22 00:00:00,20.9285
2002-02-25 00:00:00,20.0708
2002-02-26 00:00:00,19.256
2002-02-27 00:00:00,19.1532
2002-02-28 00:00:00,19.0555
2002-03-01 00:00:00,18.4877
2002-03-04 00:00:00,17.6736
2002-03-05 00:00:00,16.9002
2002-03-06 00:00:00,16.1619
2002-03-07 00:00:00,15.3699
2002-03-08 00:00:00,14.8471
2002-03-11 00:00:00,14.2495
2002-03-12 00:00:00,13.6818
2002-03-13 00:00:00,13.1988
2002-03-14 00:00:00,12.5887
2002-03-15 00:00:00,12.2032
2002-03-18 00:00:00,11.8855
2002-03-19 00:00:00,11.7202
2002-03-20 00:00:00,11.5632
2002-03-21 00:00:00,11.3023
2002-03-22 00:00:00,10.8979
2002-03-25 00:00:00,10.8518
2002-03-26 00:00:00,10.9306
2002-03-27 00:00:00,10.9522
2002-03-28 00:00:00,10.8639
2002-04-01 00:00:00,10.3822
2002-04-02 00:00:00,9.9246
2002-04-03 00:00:00,9.5371
2002-04-04 00:00:00,9.301
2002-04-05 00:00:00,9.1609
2002-04-08 00:00:00,8.8104
2002-04-09 00:00:00,8.679
2002-04-10 00:00:00,8.5541
2002-04-11 00:00:00,8.597
2002-04-12 00:00:00,8.4986
2002-04-15 00:00:00,8.4052
