date,ADOSC
2001-08-01 00:00:00,-2938105.6738
2001-08-02 00:00:00,-1930662.5297
2001-08-03 00:00:00,-1225553.3368
2001-08-06 00:00:00,-1168839.9063
2001-08-07 00:00:00,-1247568.5312
2001-08-08 00:00:00,-1761553.4784
2001-08-09 00:00:00,-1201836.0105
2001-08-10 00:00:00,-674429.3891
2001-08-13 00:00:00,-264588.1235
2001-08-14 00:00:00,-1147491.2941
2001-08-15 00:00:00,-1981853.8249
2001-08-16 00:00:00,-925843.5101
2001-08-17 00:00:00,-1182002.7263
2001-08-20 00:00:00,-496703.976
2001-08-21 00:00:00,-171199.5803
2001-08-22 00:00:00,842458.4298
2001-08-23 00:00:00,693681.1556
2001-08-24 00:00:00,2049306.1769
2001-08-27 00:00:00,2750238.5786
2001-08-28 00:00:00,1811193.7813
2001-08-29 00:00:00,-101087.616
2001-08-30 00:00:00,-408673.5558
2001-08-31 00:00:00,605333.8591
2001-09-04 00:00:00,-705597.0948
2001-09-05 00:00:00,-1103797.9189
2001-09-06 00:00:00,-2595243.4026
2001-09-07 00:00:00,-4099212.2053
2001-09-10 00:00:00,-3373648.4899
2001-09-17 00:00:00,-478542.0326
2001-09-18 00:00:00,-845416.6842
2001-09-19 00:00:00,976227.9902
2001-09-20 00:00:00,-123493.3318
2001-09-21 00:00:00,532136.2219
2001-09-24 00:00:00,958810.4941
2001-09-25 00:00:00,-151940.0132
2001-09-26 00:00:00,-2112259.6892
2001-09-27 00:00:00,-2489159.6675
2001-09-28 00:00:00,-3534087.4511
2001-10-01 00:00:00,-3858198.2833
2001-10-02 00:00:00,-4500622.4401
2001-10-03 00:00:00,-6038460.8142
2001-10-04 00:00:00,-5178042.7012
2001-10-05 00:00:00,-2441810.8766
2001-10-08 00:00:00,-335813.4461
2001-10-09 00:00:00,851159.2928
2001-10-10 00:00:00,2891417.2958
2001-10-11 00:00:00,5361866.7247
2001-10-12 00:00:00,7332701.297
2001-10-15 00:00:00,5998198.8318
2001-10-16 00:00:00,5041059.2403
2001-10-17 00:00:00,2635979.6019
2001-10-18 00:00:00,3189739.3991
2001-10-19 00:00:00,3709484.4058
2001-10-22 00:00:00,5584567.2223
2001-10-23 00:00:00,3307922.6739
2001-10-24 00:00:00,3758738.0735
2001-10-25 00:00:00,4890568.0598
2001-10-26 00:00:00,3575560.5032
