date,TRIMA
2001-09-27 00:00:00,17.2615
2001-09-28 00:00:00,17.0611
2001-10-01 00:00:00,16.8585
2001-10-02 00:00:00,16.6622
2001-10-03 00:00:00,16.4666
2001-10-04 00:00:00,16.2803
2001-10-05 00:00:00,16.1172
2001-10-08 00:00:00,15.9775
2001-10-09 00:00:00,15.8583
2001-10-10 00:00:00,15.7816
2001-10-11 00:00:00,15.7486
2001-10-12 00:00:00,15.7545
2001-10-15 00:00:00,15.7995
2001-10-16 00:00:00,15.8845
2001-10-17 00:00:00,15.9991
2001-10-18 00:00:00,16.1515
2001-10-19 00:00:00,16.3216
2001-10-22 00:00:00,16.5137
2001-10-23 00:00:00,16.7275
2001-10-24 00:00:00,16.9565
2001-10-25 00:00:00,17.1835
2001-10-26 00:00:00,17.3963
2001-10-29 00:00:00,17.583
2001-10-30 00:00:00,17.7437
2001-10-31 00:00:00,17.8827
2001-11-01 00:00:00,18.0088
2001-11-02 00:00:00,18.1181
2001-11-05 00:00:00,18.2082
2001-11-06 00:00:00,18.2856
2001-11-07 00:00:00,18.3495
2001-11-08 00:00:00,18.3895
2001-11-09 00:00:00,18.4168
2001-11-12 00:00:00,18.4483
2001-11-13 00:00:00,18.4991
2001-11-14 00:00:00,18.5723
2001-11-15 00:00:00,18.6481
2001-11-16 00:00:00,18.7222
2001-11-19 00:00:00,18.8023
2001-11-20 00:00:00,18.8815
2001-11-21 00:00:00,18.9486
2001-11-23 00:00:00,19.0202
2001-11-26 00:00:00,19.1203
2001-11-27 00:00:00,19.2405
2001-11-28 00:00:00,19.361
2001-11-29 00:00:00,19.4728
2001-11-30 00:00:00,19.5828
2001-12-03 00:00:00,19.7039
2001-12-04 00:00:00,19.8432
2001-12-05 00:00:00,20.0125
2001-12-06 00:00:00,20.2103
2001-12-07 00:00:00,20.4318
2001-12-10 00:00:00,20.6537
2001-12-11 00:00:00,20.8585
2001-12-12 00:00:00,21.0516
2001-12-13 00:00:00,21.2395
2001-12-14 00:00:00,21.4116
2001-12-17 00:00:00,21.5631
2001-12-18 00:00:00,21.683
2001-12-19 00:00:00,21.7616
2001-12-20 00:00:00,21.7826
2001-12-21 00:00:00,21.7615
2001-12-24 00:00:00,21.705
2001-12-26 00:00:00,21.6353
2001-12-27 00:00:00,21.5637
2001-12-28 00:00:00,21.4965
2001-12-31 00:00:00,21.4376
2002-01-02 00:00:00,21.4115
2002-01-03 00:00:00,21.4125
2002-01-04 00:00:00,21.4451
2002-01-07 00:00:00,21.5174
2002-01-08 00:00:00,21.6235
2002-01-09 00:00:00,21.7462
2002-01-10 00:00:00,21.8773
2002-01-11 00:00:00,22.0017
2002-01-14 00:00:00,22.1093
2002-01-15 00:00:00,22.202
2002-01-16 00:00:00,22.2581
2002-01-17 00:00:00,22.2798
2002-01-18 00:00:00,22.2644
2002-01-22 00:00:00,22.2203
2002-01-23 00:00:00,22.1596
2002-01-24 00:00:00,22.0985
2002-01-25 00:00:00,22.0532
2002-01-28 00:00:00,22.0304
2002-01-29 00:00:00,22.0343
2002-01-30 00:00:00,22.0715
2002-01-31 00:00:00,22.1465
2002-02-01 00:00:00,22.2618
2002-02-04 00:00:00,22.4161
2002-02-05 00:00:00,22.6172
2002-02-06 00:00:00,22.8431
2002-02-07 00:00:00,23.0752
2002-02-08 00:00:00,23.3002
2002-02-11 00:00:00,23.5224
2002-02-12 00:00:00,23.7393
2002-02-13 00:00:00,23.9471
2002-02-14 00:00:00,24.1321
2002-02-15 00:00:00,24.2766
2002-02-19 00:00:00,24.3788
2002-02-20 00:00:00,24.431
2002-02-21 00:00:00,24.4214
2002-02-22 00:00:00,24.3825
2002-02-25 00:00:00,24.3318
2002-02-26 00:00:00,24.2621
2002-02-27 00:00:00,24.1518
2002-02-28 00:00:00,23.9965
2002-03-01 00:00:00,23.8225
2002-03-04 00:00:00,23.653
2002-03-05 00:00:00,23.4965
2002-03-06 00:00:00,23.3733
2002-03-07 00:00:00,23.2974
2002-03-08 00:00:00,23.2677
