date,DX
2001-07-20 00:00:00,19.7895
2001-07-23 00:00:00,15.522
2001-07-24 00:00:00,20.7878
2001-07-25 00:00:00,25.5477
2001-07-26 00:00:00,26.2839
2001-07-27 00:00:00,21.5398
2001-07-30 00:00:00,20.3762
2001-07-31 00:00:00,19.7181
2001-08-01 00:00:00,15.7224
2001-08-02 00:00:00,14.7149
2001-08-03 00:00:00,16.9147
2001-08-06 00:00:00,16.9147
2001-08-07 00:00:00,17.0969
2001-08-08 00:00:00,21.1048
2001-08-09 00:00:00,21.1048
2001-08-10 00:00:00,18.6492
2001-08-13 00:00:00,18.5004
2001-08-14 00:00:00,19.4572
2001-08-15 00:00:00,24.3399
2001-08-16 00:00:00,26.6311
2001-08-17 00:00:00,26.6311
2001-08-20 00:00:00,28.5084
2001-08-21 00:00:00,29.6661
2001-08-22 00:00:00,27.4929
2001-08-23 00:00:00,25.6788
2001-08-24 00:00:00,20.0832
2001-08-27 00:00:00,7.8122
2001-08-28 00:00:00,7.8122
2001-08-29 00:00:00,15.8034
2001-08-30 00:00:00,22.6166
2001-08-31 00:00:00,15.128
2001-09-04 00:00:00,7.2483
2001-09-05 00:00:00,8.0761
2001-09-06 00:00:00,14.3775
2001-09-07 00:00:00,19.9106
2001-09-10 00:00:00,23.1628
2001-09-17 00:00:00,34.9753
2001-09-18 00:00:00,24.0135
2001-09-19 00:00:00,29.3127
2001-09-20 00:00:00,30.2115
2001-09-21 00:00:00,37.1133
2001-09-24 00:00:00,27.5588
2001-09-25 00:00:00,32.5874
2001-09-26 00:00:00,35.8677
2001-09-27 00:00:00,35.8677
2001-09-28 00:00:00,33.1332
2001-10-01 00:00:00,34.5204
2001-10-02 00:00:00,37.5058
2001-10-03 00:00:00,37.9313
2001-10-04 00:00:00,22.3245
2001-10-05 00:00:00,22.3245
2001-10-08 00:00:00,18.9726
2001-10-09 00:00:00,18.9726
2001-10-10 00:00:00,8.2872
2001-10-11 00:00:00,4.1238
2001-10-12 00:00:00,8.3479
2001-10-15 00:00:00,11.9509
2001-10-16 00:00:00,9.2387
2001-10-17 00:00:00,2.007
2001-10-18 00:00:00,2.007
2001-10-19 00:00:00,0.3779
2001-10-22 00:00:00,9.1865
2001-10-23 00:00:00,13.3972
2001-10-24 00:00:00,11.5309
2001-10-25 00:00:00,13.5283
2001-10-26 00:00:00,13.5283
2001-10-29 00:00:00,2.0871
2001-10-30 00:00:00,9.058
2001-10-31 00:00:00,3.3223
2001-11-01 00:00:00,1.8401
2001-11-02 00:00:00,2.9151
2001-11-05 00:00:00,8.0807
2001-11-06 00:00:00,12.7185
2001-11-07 00:00:00,18.6721
2001-11-08 00:00:00,7.2016
2001-11-09 00:00:00,6.9154
2001-11-12 00:00:00,1.2713
2001-11-13 00:00:00,1.6836
2001-11-14 00:00:00,8.2184
2001-11-15 00:00:00,8.2184
2001-11-16 00:00:00,3.3642
2001-11-19 00:00:00,6.3018
2001-11-20 00:00:00,8.0875
2001-11-21 00:00:00,4.7261
2001-11-23 00:00:00,6.6363
2001-11-26 00:00:00,23.7923
2001-11-27 00:00:00,23.7923
2001-11-28 00:00:00,22.3906
2001-11-29 00:00:00,18.9256
2001-11-30 00:00:00,26.312
2001-12-03 00:00:00,26.312
2001-12-04 00:00:00,37.2662
2001-12-05 00:00:00,46.8227
2001-12-06 00:00:00,46.3438
2001-12-07 00:00:00,44.0359
2001-12-10 00:00:00,45.8342
2001-12-11 00:00:00,36.2853
2001-12-12 00:00:00,30.1011
2001-12-13 00:00:00,19.4071
2001-12-14 00:00:00,14.0143
2001-12-17 00:00:00,15.6764
2001-12-18 00:00:00,18.8806
